L,S
31667.000000000015,0.4570649256323615
81325.59999999998,0.42074574303786255
32230.0,0.4074107973937324
238121.62999999995,0.43821901017559806
5299.329999999993,0.04433107581524445
22246.000000000044,0.4660264766699625
861.3599999999961,1.1974087489551457
-13.99499999999989,-0.0
12288.29000000004,0.5541739330696119
6298.070000000025,0.584833925313626
7339.775000000018,0.6574622519082657
44690.84999999997,0.3129080113714553
80983.65000000002,0.4243492359260172
122409.25999999998,0.43992954454589467
261776.20000000004,0.43306266956277917
7896.150000000038,0.014228453106894462
785315.9299999999,0.4139470021956641
5732.220000000021,0.1273415884247291
61257.29000000001,0.4519915099084533
166755.66499999998,0.39064834768881773
11157.349999999979,-0.0027000138921878802
332152.98,0.4092687953604993
6227.540000000014,0.22566695677586973
22219.99999999997,0.2677576507650767
301457.0,0.409644576175043
1601.560000000002,0.6355053822523041
3115.5300000000207,0.20151467005613785
43747.865000000005,0.38993502882940684
18010.510000000002,0.5207084641134537
51975.09999999999,0.4620962730230439
13123.200000000015,0.4163237624969517
91262.99999999999,0.44958471669789507
86439.625,0.4303538452416933
118533.75,0.38334440612905607
4104.400000000014,0.06846311275704157
22286.27999999996,0.44648097394450814
8123.925000000018,0.38323532036546315
310824.62499999994,0.4038125196805112
12875.704999999973,-0.007376295123257566
41813.06000000003,0.42314171696594305
47098.600000000006,0.4272366906871965
56911.399999999994,0.4238254550054999
-553.059999999994,0.5344356850974566
84241.30499999995,0.4294689523150195
73719.6,0.46046438125003375
38157.534999999974,0.44683900571669544
11789.239999999956,0.29035374629747185
57716.575000000026,0.45568149184181467
10592.63000000003,0.28171001913594595
183746.17,0.44773749569854987
4240.349999999963,0.5691157569540289
63101.59999999999,0.3780411273248223
37405.000000000015,0.48086886779842253
150664.0,0.44500793155631074
13863.245000000028,0.48498205146053397
35636.63999999998,0.4322293010788897
24413.479999999985,0.30436463789676865
33452.210000000014,0.4410777344755397
2929.820000000033,0.4341648975022322
35597.000000000015,0.4195402702474925
21398.000000000036,0.43155318254042385
23160.22000000004,0.4463245599566838
42917.37499999996,0.37446663501670385
61974.83999999997,0.43702896207557784
36728.125000000015,0.32050029779630723
23059.74000000004,0.4466800146055414
24448.949999999983,0.39295143554222184
91025.96000000005,0.38493084829866103
2703.9999999999927,0.25795118343195245
102516.0,0.4161728413125756
65137.999999999985,0.4427960637415948
19891.5,0.4300580650026393
69490.21000000002,0.43799047376601674
29728.54999999997,0.46061614172235144
42196.3,0.33407549951062054
1291.0400000000209,0.3922806419630648
14511.239999999956,0.4222106449896778
13461.25500000003,0.46183843928370644
118940.99999999996,0.4404908736264199
284152.88,0.43803743956422314
10431.160000000033,0.07308870729621653
132901.00000000006,0.4390755148569236
4740.239999999978,0.48877272036859054
204409.76,0.3906633421026471
11643.959999999992,-0.017966396311907728
779.8099999999563,-0.6603531629499937
3792.0799999999927,0.47458782515136877
16833.680000000033,0.46597951250112796
3204.6199999999926,0.47421379133875546
-851.9999999999891,0.2685152582159625
26003.754999999972,0.42265338217499776
103699.09000000003,0.3793950843734501
7833.514999999997,0.4534394840630293
83532.83499999995,0.44782120707384127
10843.759999999957,0.4012953071628302
10743.315000000044,0.42566703107932585
86.0800000000022,1.0
2283.4799999999746,0.8700754988000853
29380.890000000014,0.39251874262488295
82275.58499999998,0.336826228582878
